record_id,mandi_id,mandi_name,crop_type,crop_category,quantity_quintals,procurement_date,slot_start,slot_end,slot_hour,day_of_week,month,farmers_in_selected_slot,active_queue_count,arrival_time,completion_time,created_at,actual_processing_duration_mins
SYN-00001,MD-NAD-001,Nadia Agricultural Mandi,Mustard / Rapeseed,oilseeds,40.12,2025-02-24,09:00:00,09:30:00,9,0,2,8,14,2025-02-24 09:10:00,2025-02-24 09:54:00,2025-02-24 08:30:00,44
SYN-00002,MD-BRD-001,Burdwan Agricultural Mandi,Ragi (Finger Millet),coarse_cereals,31.22,2026-04-16,14:30:00,15:00:00,14,3,4,7,8,2026-04-16 14:40:00,2026-04-16 15:20:00,2026-04-16 14:06:00,40
SYN-00003,MD-KOL-002,Taratala Agricultural Mandi,Cotton,commercial_and_fibre,21.38,2026-02-02,16:00:00,16:30:00,16,0,2,17,24,2026-02-02 17:00:00,2026-02-02 18:16:00,2026-02-02 13:36:00,76
SYN-00004,MD-KOL-002,Taratala Agricultural Mandi,Moong,pulses,59.5,2025-09-24,11:30:00,12:00:00,11,2,9,10,11,2025-09-24 11:35:00,2025-09-24 12:27:00,2025-09-24 09:15:00,52
SYN-00005,MD-KOL-001,Ballygunge Agricultural Mandi,Rice / Paddy,food_grains,22.23,2025-09-21,15:30:00,16:00:00,15,6,9,9,10,2025-09-21 15:30:00,2025-09-21 16:07:00,2025-09-21 13:50:00,37
SYN-00006,MD-HOW-001,Howrah Agricultural Mandi,Moong,pulses,19.04,2026-06-07,14:00:00,14:30:00,14,6,6,8,13,2026-06-07 14:05:00,2026-06-07 14:44:00,2026-06-07 13:17:00,39
SYN-00007,MD-HOW-001,Howrah Agricultural Mandi,Ragi (Finger Millet),coarse_cereals,24.15,2025-02-22,15:00:00,15:30:00,15,5,2,3,8,2025-02-22 15:05:00,2025-02-22 15:37:00,2025-02-22 11:49:00,32
SYN-00008,MD-KOL-001,Ballygunge Agricultural Mandi,Rice / Paddy,food_grains,73.56,2026-02-28,11:00:00,11:30:00,11,5,2,4,7,2026-02-28 11:05:00,2026-02-28 11:41:00,2026-02-28 09:09:00,36
SYN-00009,MD-NAD-001,Nadia Agricultural Mandi,Rice / Paddy,food_grains,63.46,2025-05-03,09:00:00,09:30:00,9,5,5,9,10,2025-05-03 09:15:00,2025-05-03 10:03:00,2025-05-03 06:09:00,48
SYN-00010,MD-KOL-001,Ballygunge Agricultural Mandi,Moong,pulses,30.15,2025-02-27,09:00:00,09:30:00,9,3,2,14,16,2025-02-27 09:05:00,2025-02-27 09:55:00,2025-02-27 08:02:00,50
SYN-00011,MD-BRD-001,Burdwan Agricultural Mandi,Sugarcane,commercial_and_fibre,96.21,2025-11-17,14:30:00,15:00:00,14,0,11,5,8,2025-11-17 15:35:00,2025-11-17 16:32:00,2025-11-17 14:00:00,57
SYN-00012,MD-NAD-001,Nadia Agricultural Mandi,Groundnut,oilseeds,11.27,2026-08-17,15:00:00,15:30:00,15,0,8,3,8,2026-08-17 15:05:00,2026-08-17 15:36:00,2026-08-17 11:33:00,31
SYN-00013,MD-BRD-001,Burdwan Agricultural Mandi,Moong,pulses,54.15,2026-03-24,11:30:00,12:00:00,11,1,3,13,13,2026-03-24 11:35:00,2026-03-24 12:30:00,2026-03-24 11:19:00,55
SYN-00014,MD-KOL-001,Ballygunge Agricultural Mandi,Arhar (Tur),pulses,8.32,2026-04-08,08:00:00,08:30:00,8,2,4,5,8,2026-04-08 09:10:00,2026-04-08 09:43:00,2026-04-08 06:42:00,33
SYN-00015,MD-BRD-001,Burdwan Agricultural Mandi,Cotton,commercial_and_fibre,48.25,2026-03-13,08:00:00,08:30:00,8,4,3,8,9,2026-03-13 08:15:00,2026-03-13 09:02:00,2026-03-13 05:54:00,47
SYN-00016,MD-HOO-001,Hooghly Agricultural Mandi,Arhar (Tur),pulses,7.97,2026-04-23,12:30:00,13:00:00,12,3,4,9,9,2026-04-23 12:40:00,2026-04-23 13:20:00,2026-04-23 11:17:00,40
SYN-00017,MD-BRD-001,Burdwan Agricultural Mandi,Soybean,oilseeds,69.94,2025-11-09,15:30:00,16:00:00,15,6,11,5,8,2025-11-09 16:45:00,2025-11-09 17:29:00,2025-11-09 15:43:00,44
SYN-00018,MD-NAD-001,Nadia Agricultural Mandi,Rice / Paddy,food_grains,74.01,2025-03-19,11:00:00,11:30:00,11,2,3,7,9,2025-03-19 11:05:00,2025-03-19 11:54:00,2025-03-19 08:44:00,49
SYN-00019,MD-NAD-001,Nadia Agricultural Mandi,Sugarcane,commercial_and_fibre,64.71,2026-05-26,13:30:00,14:00:00,13,1,5,2,3,2026-05-26 13:45:00,2026-05-26 14:24:00,2026-05-26 09:58:00,39
SYN-00020,MD-KOL-001,Ballygunge Agricultural Mandi,Cotton,commercial_and_fibre,33.52,2025-10-01,12:30:00,13:00:00,12,2,10,11,13,2025-10-01 12:40:00,2025-10-01 13:33:00,2025-10-01 11:32:00,53
SYN-00021,MD-NAD-001,Nadia Agricultural Mandi,Maize,coarse_cereals,26.61,2025-11-01,15:00:00,15:30:00,15,5,11,7,8,2025-11-01 16:00:00,2025-11-01 16:40:00,2025-11-01 13:49:00,40
SYN-00022,MD-HOW-001,Howrah Agricultural Mandi,Moong,pulses,29.72,2025-08-14,15:30:00,16:00:00,15,3,8,4,7,2025-08-14 15:45:00,2025-08-14 16:11:00,2025-08-14 12:47:00,26
SYN-00023,MD-BRD-001,Burdwan Agricultural Mandi,Bajra (Pearl Millet),coarse_cereals,29.37,2025-04-21,10:00:00,10:30:00,10,0,4,2,5,2025-04-21 10:10:00,2025-04-21 10:38:00,2025-04-21 09:52:00,28
SYN-00024,MD-NAD-001,Nadia Agricultural Mandi,Ragi (Finger Millet),coarse_cereals,11.28,2026-07-18,13:00:00,13:30:00,13,5,7,6,11,2026-07-18 13:05:00,2026-07-18 13:44:00,2026-07-18 12:24:00,39
SYN-00025,MD-KOL-001,Ballygunge Agricultural Mandi,Sugarcane,commercial_and_fibre,70.78,2026-04-21,15:30:00,16:00:00,15,1,4,2,5,2026-04-21 15:30:00,2026-04-21 16:14:00,2026-04-21 13:14:00,44
SYN-00026,MD-MUR-001,Murshidabad Agricultural Mandi,Wheat,food_grains,52.94,2026-01-27,16:30:00,17:00:00,16,1,1,5,5,2026-01-27 16:35:00,2026-01-27 17:13:00,2026-01-27 15:47:00,38
SYN-00027,MD-KOL-001,Ballygunge Agricultural Mandi,Cotton,commercial_and_fibre,91.87,2025-09-02,12:30:00,13:00:00,12,1,9,5,5,2025-09-02 12:40:00,2025-09-02 13:29:00,2025-09-02 11:38:00,49
SYN-00028,MD-KOL-003,New Town Agricultural Mandi,Mustard / Rapeseed,oilseeds,37.56,2026-05-16,09:00:00,09:30:00,9,5,5,10,9,2026-05-16 09:10:00,2026-05-16 09:54:00,2026-05-16 06:22:00,44
